source,magnitude_log1p
real_ILI_level_breaks,0.44988502202293734
real_ILI_level_breaks,0.5227163767011096
real_ILI_level_breaks,0.6658244839464704
real_ILI_level_breaks,0.5761620470598108
real_ILI_level_breaks,0.6388480608415785
real_ILI_level_breaks,0.41211286882538967
real_ILI_level_breaks,0.18731368534054416
real_ILI_level_breaks,0.42333302495464475
real_ILI_level_breaks,0.21468485024085218
real_ILI_level_breaks,0.613109743787578
real_ILI_level_breaks,0.32532837623493577
real_ILI_level_breaks,0.5091932473933001
real_ILI_level_breaks,0.3636774788638899
real_ILI_level_breaks,0.3030774001453015
real_ILI_level_breaks,0.7995847002459291
real_ILI_level_breaks,0.6433153095081716
real_ILI_level_breaks,0.3062097844414924
real_ILI_level_breaks,0.4452690790193291
real_ILI_level_breaks,0.570647398806618
real_ILI_level_breaks,0.8063921293241207
real_ILI_level_breaks,0.18926306144775884
real_ILI_level_breaks,0.7549819284807522
real_ILI_level_breaks,0.8389491704745352
real_ILI_level_breaks,0.1979244470011594
real_ILI_level_breaks,0.6603555958999494
real_ILI_level_breaks,0.5041552865165239
real_ILI_level_breaks,0.95583363844651
sim_drift_strength1.0,0.17558650454989255
sim_drift_strength1.0,0.4999635792921229
sim_drift_strength1.0,0.038497583137046654
sim_drift_strength1.0,0.02597458390050278
sim_drift_strength1.0,0.1840302694324416
sim_drift_strength1.0,0.15110803390651206
sim_drift_strength1.0,0.812878760103604
sim_drift_strength1.0,0.5027277649450159
sim_drift_strength1.0,0.21966326113840307
sim_drift_strength1.0,0.2685840794112728
sim_drift_strength1.0,0.5814088892507927
sim_drift_strength1.0,0.31432529045835533
sim_drift_strength1.0,0.043428226292166805
sim_drift_strength1.0,0.08755164101797863
sim_drift_strength1.0,0.1705551033363406
sim_drift_strength1.0,0.22584366736376982
sim_drift_strength1.0,1.014670952397295
sim_drift_strength1.0,0.5569982013267314
sim_drift_strength1.0,0.5434552443182534
sim_drift_strength1.0,0.46775599942136115
sim_drift_strength1.0,0.47385368455016064
sim_drift_strength1.0,0.3294956023878308
sim_drift_strength1.0,0.5543903137039603
sim_drift_strength1.0,1.164226924555663
sim_drift_strength1.0,0.14255444038796306
sim_drift_strength1.0,1.4506430348040364
sim_drift_strength1.0,0.06226623223429151
sim_drift_strength1.0,0.7434506384376984
sim_drift_strength1.0,0.5695818765035607
sim_drift_strength1.0,0.392676488817604
sim_drift_strength1.0,0.8735332855414484
sim_drift_strength1.0,1.1980137536496906
sim_drift_strength1.0,0.8972314444995044
sim_drift_strength1.0,0.2008136794658073
sim_drift_strength1.0,0.8839677695388786
sim_drift_strength1.0,0.061222739548376204
sim_drift_strength1.0,0.26135173358922525
sim_drift_strength1.0,0.4856030823632036
sim_drift_strength1.0,0.04125908924281507
sim_drift_strength1.0,0.7511167356161179
sim_drift_strength1.0,0.7808375934935508
sim_drift_strength1.0,0.27397057715840045
sim_drift_strength1.0,0.8070084601729834
sim_drift_strength1.0,0.04303455127836209
sim_drift_strength1.0,0.0959874770296647
sim_drift_strength1.0,0.17025904313911067
sim_drift_strength1.0,0.6957834950212556
sim_drift_strength1.0,0.47414886461607697
sim_drift_strength1.0,0.18951808173538343
sim_drift_strength1.0,0.783214094138506
sim_drift_strength1.0,0.09968566504966869
sim_drift_strength1.0,0.03233677221498166
sim_drift_strength1.0,0.7123976009224631
sim_drift_strength1.0,1.0520232448757176
sim_drift_strength1.0,0.2559801815746212
sim_drift_strength1.0,0.42438270893778807
sim_drift_strength1.0,0.035745597691785314
sim_drift_strength1.0,0.9591734011791582
sim_drift_strength1.0,0.8187567564591411
sim_drift_strength1.0,0.19855301664795633
sim_drift_strength1.0,0.025259433505230078
sim_drift_strength1.0,0.6801161325262068
sim_drift_strength1.0,0.7378889365470442
sim_drift_strength1.0,0.0791482902123608
sim_drift_strength1.0,0.4173450718906908
sim_drift_strength1.0,0.16708372806500815
sim_drift_strength1.0,0.05791500248719128
sim_drift_strength1.0,0.07156655470588191
sim_drift_strength1.0,0.506737774826111
sim_drift_strength1.0,0.08718787272970463
sim_drift_strength1.0,0.9003814094174594
sim_drift_strength1.0,0.3437317259189214
sim_drift_strength1.0,0.3084754304043029
sim_drift_strength1.0,0.28396141825896315
sim_drift_strength1.0,0.419645396639706
sim_drift_strength1.0,0.878659305954919
sim_drift_strength1.0,0.3315830163056024
sim_drift_strength1.0,0.7279989718340509
sim_drift_strength1.0,0.6438365885093371
sim_drift_strength1.0,1.0895689578532037
sim_drift_strength1.0,0.23431142925878667
sim_drift_strength1.0,0.8206065114372878
sim_drift_strength1.0,0.814674196563268
sim_drift_strength1.0,0.1052726467581877
sim_drift_strength1.0,0.7626843546831026
sim_drift_strength1.0,0.22087227583326907
sim_drift_strength1.0,0.0679224142094812
sim_drift_strength1.0,0.2823706901315539
sim_drift_strength1.0,0.6043799898749258
sim_drift_strength1.0,0.5044200956071458
sim_drift_strength1.0,0.2173719041934774
sim_drift_strength1.0,0.5147495239059552
sim_drift_strength1.0,0.020509134143849472
sim_drift_strength1.0,1.1094752647156811
sim_drift_strength1.0,1.1822933302664387
sim_drift_strength1.0,1.7210269019574715
sim_drift_strength1.0,0.15302272228787217
sim_drift_strength1.0,0.09864869721843395
sim_drift_strength1.0,0.46673719187411855
sim_drift_strength1.0,0.41053999810287767
sim_drift_strength1.0,0.04547649736485848
sim_drift_strength1.0,0.12321718897001332
sim_drift_strength1.0,0.5534198971560151
sim_drift_strength1.0,0.6268702401655828
sim_drift_strength1.0,0.30128026451210843
sim_drift_strength1.0,0.027935474066087984
sim_drift_strength1.0,0.21840059416112112
sim_drift_strength1.0,0.19878159832339648
sim_drift_strength1.0,0.164658738542931
sim_drift_strength1.0,0.17474698354093832
sim_drift_strength1.0,0.1951098820927779
sim_drift_strength1.0,0.17214715976615658
sim_drift_strength1.0,0.28642943961376854
sim_drift_strength1.0,0.48333165161941594
sim_drift_strength1.0,0.5823880049535219
sim_drift_strength1.0,0.28611790101662216
sim_drift_strength1.0,0.2735789839390099
sim_drift_strength1.0,0.015412273346236738
sim_drift_strength1.0,1.1332884133445944
sim_drift_strength1.0,0.04408023621249235
sim_drift_strength1.0,0.9546914590058195
sim_drift_strength1.0,0.18225830433181933
sim_drift_strength1.0,0.29028891449129723
sim_drift_strength1.0,0.20814264762850154
sim_drift_strength1.0,0.9377348297248362
sim_drift_strength1.0,1.1470476461852632
sim_drift_strength1.0,0.4484200060262049
sim_drift_strength1.0,0.30737672989688214
sim_drift_strength1.0,0.34232638061324305
sim_drift_strength1.0,0.33949742104621716
sim_drift_strength1.0,0.552155292958969
sim_drift_strength1.0,0.7929516101445468
sim_drift_strength1.0,0.7276422346660967
sim_drift_strength1.0,0.3882133204407543
sim_drift_strength1.0,0.019284813945939838
sim_drift_strength1.0,0.5381577664252175
sim_drift_strength1.0,0.0017059966391457237
sim_drift_strength1.0,0.4185953048174902
sim_drift_strength1.0,0.11578566526036171
sim_drift_strength1.0,0.17486567373605144
sim_drift_strength1.0,0.955590947157194
sim_drift_strength1.0,0.07055039619793213
sim_drift_strength1.0,0.6430914188217649
sim_drift_strength1.0,0.11059716789156138
sim_drift_strength1.0,1.0749493463753925
sim_drift_strength1.0,0.6141153480194665
sim_drift_strength1.0,0.20343262400342432
sim_drift_strength1.0,0.5978089649604099
sim_drift_strength1.0,0.27508109481959675
